,Area Unit,Posted By:,Price per Sqft,Total Area,Total Cost
0,super area,Builder,₹ 11422 per sqft,122 sqm,₹ 1.50 Cr
1,carpet area,Builder,None,917 sqft,₹ 77.5 Lac
2,super area,Builder,₹ 6259 per sqft,1492 sqft,₹ 93.4 Lac
3,carpet area,Builder,None,913 sqft,₹ 64.3 Lac
4,carpet area,Builder,None,985 sqft,₹ 87 Lac
5,carpet area,Agent,None,919 sqft,₹ 58 Lac
6,super area,Agent,₹ 4467 per sqft,1500 sqft,₹ 67 Lac
7,carpet area,Builder,None,1250 sqft,₹ 1.17 Cr
8,carpet area,None,None,1841 sqft,₹ 1.80 Cr
9,carpet area,None,None,1102 sqft,₹ 1.16 Cr
10,carpet area,None,None,1089 sqft,₹ 85.5 Lac
11,carpet area,None,None,902 sqft,₹ 50 Lac
12,super area,Agent,₹ 6712 per sqft,1460 sqft,₹ 98 Lac
13,carpet area,None,None,995 sqft,₹ 70.1 Lac
14,carpet area,None,None,1242 sqft,₹ 1.15 Cr
15,carpet area,Agent,None,1050 sqft,₹ 78 Lac
16,super area,Agent,₹ 7097 per sqft,1550 sqft,₹ 1.10 Cr
17,carpet area,Agent,None,1108 sqft,₹ 1.25 Cr
18,carpet area,None,None,990 sqft,₹ 74.3 Lac
19,carpet area,Owner,None,965 sqft,₹ 69 Lac
20,carpet area,None,None,1021 sqft,₹ 70 Lac
21,super area,Agent,₹ 5962 per sqft,2600 sqft,₹ 1.55 Cr
22,carpet area,None,None,1925 sqft,₹ 1.51 Cr
23,carpet area,None,None,2580 sqft,₹ 1.50 Cr
24,super area,None,₹ 7499 per sqft,1667 sqft,₹ 1.25 Cr
25,carpet area,None,None,1350 sqft,₹ 1.35 Cr
26,carpet area,None,None,1450 sqft,₹ 1.21 Cr
27,carpet area,None,None,1350 sqft,₹ 1.35 Cr
28,super area,Agent,₹ 6812 per sqft,1835 sqft,₹ 1.25 Cr
29,carpet area,Agent,None,1150 sqft,₹ 72 Lac
